Sp,Sex,LS,SVL,perch height,branch diam,Names
O,M,SA,106,65,na,O.SA
O,F,SA,74.9,40,na,O.SA
O,F,SA,115.3,70,na,O.SA
O,F,SA,88,200,na,O.SA
O,F,SA,na,na,na,O.SA
O,F,SA,na,na,na,O.SA
O,F,SA,100.6,56,56.3,O.SA
O,F,A,na,50,na,O.A
O,M,SA,116.2,112,9,O.SA
O,F,A,143.2,173,4.3,O.A
O,M,SA,62.6,127,2.3,O.SA
O,M,SA,78.4,87,1.75,O.SA
O,M,SA,106.9,78,5.1,O.SA
O,F,SA,111.9,153,4.5,O.SA
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,na,na,na,na,na,na
O,M,A,141.2,152,10,O.A
O,F,SA,119.5,89,4.3,O.SA
O,F,SA,107.9,213,7.3,O.SA
O,F,SA,116,72,7.4,O.SA
O,M,A,190,160,6.9,O.A
O,M,A,na,600,na,O.A
O,F,A,153,130,5.4,O.A
O,M,A,130,241,13.9,O.A
O,M,A,131.3,61,6.5,O.A
O,M,A,186,174,12.2,O.A
O,F,A,145.3,228,3.5,O.A
O,F,SA,109.8,155,5.9,O.SA
O,M,A,197,300,7.1,O.A
O,F,SA,106.7,87,5.2,O.SA
O,F,A,132.5,55,18.8,O.A
O,M,A,170,108,4.6,O.A
O,M,A,200,107,17,O.A
O,M,A,163,350,24.5,O.A
O,M,A,151.3,107,10.8,O.A
O,F,A,136.5,114,10.5,O.A
O,M,A,130.1,36,13.9,O.A
O,F,SA,122.2,0,0,O.SA
O,M,A,200,252,9.5,O.A
O,M,A,190,146,12.3,O.A
O,M,A,195,250,13.3,O.A
O,F,A,138.7,192,14.3,O.A
O,F,SA,106.1,138,9.6,O.SA
O,F,SA,108.2,244,4,O.SA
O,F,SA,117.6,30,18.2,O.SA
O,F,SA,122.8,na,na,O.SA
O,F,SA,99.7,102,29,O.SA
O,M,SA,na,65,10.6,O.SA
O,M,A,140.3,400,7.1,O.A
O,F,A,na,190,4.7,O.A
O,F,A,143.3,53,8.5,O.A
O,F,A,145.1,142,3.8,O.A
O,M,SA,100.1,37,10.9,O.SA
O,F,SA,124.6,178,10.4,O.SA
O,M,A,221.2,218,20.8,O.A
O,M,A,192,208,8.1,O.A
O,M,A,210,202,11.9,O.A
O,F,A,136,113,5.7,O.A
O,F,SA,102,174,5.6,O.SA
O,M,A,168,350,10.9,O.A
O,F,A,136.7,86.5,9.3,O.A
O,M,A,132.6,133,6.2,O.A
O,F,SA,106.7,167,9,O.SA
O,F,SA,118.4,102,6,O.SA
O,M,A,188,153,13.2,O.A
O,M,A,132.9,na,na,O.A
O,M,A,149,56,3.8,O.A
O,M,A,134.4,67,32.7,O.A
