ID,x^4,x^3,x^2,x,c,AIC,BIC
39851,4.57678320323e-06,-1.77571874429e-07,2.1992147592e-09,-7.48877517606e-12,7.86799615992e-15,-444.951411871,-446.904222309
39852,4.57237502712e-07,2.52714351753e-08,4.82154066125e-10,-2.05714300966e-12,2.40684418081e-15,-457.743267667,-459.696078105
39853,8.433577922e-06,-3.25460404916e-07,4.15050887358e-09,-1.4197419062e-11,1.49661821772e-14,-438.93911471,-440.891925148
39854,-1.73578721324e-05,5.35166079635e-07,-4.00384421955e-09,1.23396517446e-11,-1.25654846309e-14,-432.352532964,-434.305343402
39855,9.26740481118e-06,-1.94173593066e-07,1.75932682047e-09,-5.43964693307e-12,5.51756891824e-15,-439.431316982,-441.38412742
39856,-2.66926501683e-05,7.60604960233e-07,-4.14229081574e-09,8.62723864066e-12,-5.71417743888e-15,-450.698924252,-452.651734689
39857,-7.80837503196e-07,4.23430346726e-08,1.32621985812e-09,-5.75927877123e-12,6.91248423693e-15,-449.172016004,-451.124826442
39858,-4.88828297161e-05,1.5816695579e-06,-1.26896670717e-08,3.97164087504e-11,-4.06138601238e-14,-425.562906115,-427.515716553
39859,-3.08700137492e-06,1.09782632482e-07,-7.8861975591e-10,2.2223297972e-12,-2.08754955794e-15,-441.811866163,-443.764676601
39860,1.76802231033e-06,8.7783196758e-08,-5.70598788519e-10,2.53194868286e-12,-3.38201638142e-15,-450.911722324,-452.864532761
39861,1.30841825421e-05,-2.97875319285e-07,3.37507727058e-09,-1.12999610454e-11,1.17258052261e-14,-444.870166294,-446.822976732
39862,1.14340603632e-06,-3.58309130436e-08,1.15123604315e-09,-4.61444888677e-12,5.404792885e-15,-443.933401588,-445.886212026
39913,NA,NA,NA,NA,NA,NA,NA
39934,18.1553402656,72.9310667304,-1.73547799026,0.0150102994594,-3.09407120947e-05,177.019390224,181.471249014
39940,3.23194231062e-06,6.58039348929e-07,-6.24825380476e-10,2.62882613142e-13,-3.62861348663e-17,-1647.6225849,-1635.71245173
39941,0.00326370634239,0.000857398883352,-2.6832843224e-05,2.40384610126e-07,1.40841864007e-09,-106.232116296,-105.245993409
39942,0.0034336898876,0.00411277836552,-0.000187246328059,3.57129464985e-06,-2.15380136721e-08,-187.810308381,-182.355096114
39943,0.0261680457247,0.00495298798564,-7.10483283559e-05,8.23886629626e-07,-3.39061268234e-09,-89.3365184075,-86.9119851586
39944,-0.0135409377261,0.038060092911,-0.00109387815288,1.30046416226e-05,-5.27223772162e-08,-146.204730237,-140.314461085
39960,-4.94861818966e-06,8.78539332623e-06,-7.09221387753e-07,5.2900932061e-08,-1.37651683556e-09,-161.023213662,-162.064416316
39961,7.13067291986e-06,-5.17961134343e-06,1.31852892616e-06,-8.41997972959e-08,1.51176681994e-09,-175.191576317,-176.232778971
39982,0.0029013015883,8.46977617894e-05,-1.53527904774e-07,1.49604152931e-10,-5.71989650023e-14,-94.0101840161,-93.0240611294
39987,-0.00488085995427,4.86084274129e-06,-3.63712273249e-10,1.0745533438e-14,-1.14034104846e-19,-198.533781818,-194.081923028
39988,-0.0115334004139,9.79553982728e-06,-6.12935813668e-10,1.64768163945e-14,-1.46145782039e-19,-155.153376442,-149.930764253
39992,-0.316208660267,0.502744351791,0.0437358734089,-0.0103461571155,0.000432821338485,-10.6599753512,-9.67385246449
39993,5.1815594335e-06,-7.45085331121e-06,8.95188966683e-06,-1.03852739054e-06,3.45671895526e-08,-199.030397909,-200.071600563
39994,6.8498012068e-05,-2.19667700492e-06,2.94464005411e-08,-1.29941073468e-10,1.84864105052e-13,-190.091840174,-189.694632466
39995,8.65479027527e-05,-2.81234552159e-06,3.81589844266e-08,-1.65907613747e-10,2.34427800583e-13,-171.067028774,-170.669821066
39996,8.22574010641e-05,-2.76217984662e-06,4.30631136683e-08,-1.9693796134e-10,2.85897227878e-13,-176.831274401,-176.434066693
39997,9.13607794803e-05,-3.36857815759e-06,6.57194526955e-08,-3.15591731816e-10,4.58841829477e-13,-166.58070992,-166.183502212
40002,1.59809603456e-05,1.91818043559e-06,-2.93237813665e-08,6.26527668416e-11,9.83998808081e-13,-151.087724046,-151.358173301
40003,2.1403430105e-05,-1.26448265388e-07,1.18524161474e-07,-1.34752450359e-09,4.02350080073e-12,-140.797573145,-141.0680224
40010,21.3772572877,0.045955330239,6.58326248385e-06,-6.18045014752e-10,1.78240297313e-14,34.84513851,33.8039358561
40035,0.111178797577,0.683096481332,-0.000257137706842,-6.1066299318e-06,7.85264966978e-09,171.684623715,177.779002839
40036,-5.81546982257,1.49123035418,0.00444278688103,-2.04740432411e-05,1.80620420752e-08,270.827258504,276.717527656
40037,1.55664876691,0.0406343327199,0.000284255159264,-3.54604353508e-08,-6.22823025153e-10,114.165155649,119.387767837
40057,0.000603166665595,-0.000198794361562,4.72902709265e-05,-3.10344144502e-06,6.45934616594e-08,-118.952182867,-119.993385521
40058,NA,NA,NA,NA,NA,NA,NA
40059,0.000107618548972,-1.22959628776e-05,3.01729299172e-05,-3.01365123576e-06,8.15244128192e-08,-181.421963861,-180.435840974
40060,-0.001082331,0.0006049496875,-8.87740755208e-05,5.67103515625e-06,-1.25655436198e-07,-407.917587383,-409.870397821
40064,6.02388990319e-05,-5.1395317577e-06,5.3272452289e-06,-1.04904687835e-07,5.57183977053e-10,-235.565567337,-231.399500617
40065,0.000237825483349,-4.3542985121e-05,3.97403330813e-06,-7.6491781163e-08,4.46546064771e-10,-306.167221831,-300.944609643
40066,-0.00133413944581,0.000109829214184,2.25529738101e-07,-5.4757177669e-09,1.70066378912e-11,-171.772089201,-167.90914559
40067,-0.00114630825163,0.00016789902923,-2.6376932782e-06,1.81229756437e-08,-3.71785244392e-11,-265.387537269,-259.293158145
40098,5.92553484467e-05,-2.69480067046e-05,5.54447788264e-06,-3.55062242519e-07,4.78195149678e-09,-554.297639256,-548.407370104
40099,7.06330418716e-05,-4.47439835358e-05,1.01557339477e-05,-7.24683098102e-07,1.6322444271e-08,-836.499233129,-828.054835858
