ID,x^2,x,c,AIC,BIC
39851,-3.299555025e-06,7.77442630785e-08,-1.04887411387e-10,-128.419620098,-129.591306361
39852,-1.63263012051e-07,6.68820667309e-08,-4.69647329961e-11,-135.14842087,-136.320107133
39853,-6.30208196248e-06,1.57557306922e-07,-2.10982590213e-10,-122.618295815,-123.789982078
39854,-1.53837152924e-06,6.21881716233e-08,-2.28717046391e-11,-126.126788171,-127.298474434
39855,2.18029303927e-06,1.66736276684e-08,-4.40209845987e-12,-134.687581473,-135.859267735
39856,4.35315148059e-06,5.92457494769e-08,-2.31687370238e-11,-116.388789416,-117.560475678
39857,-1.41708473599e-06,1.38094972041e-07,-7.99305450184e-11,-123.648605166,-124.820291428
39858,-3.65419605106e-07,9.1233781199e-08,2.71974586577e-11,-114.07287809,-115.244564353
39859,8.93212923386e-07,3.5436919531e-09,4.35761119596e-12,-143.951814552,-145.123500815
39860,-2.79305800289e-07,8.80888092863e-08,-1.03739777527e-10,-127.323558971,-128.495245234
39861,4.64612303928e-08,1.09405532856e-07,-1.77616765341e-10,-125.888872842,-127.060559105
39862,-2.3557212297e-07,5.71997520776e-08,-3.4231044931e-11,-127.241072244,-128.412758507
39913,-1.26340339206e-05,8.78107769267e-09,-4.02191990184e-14,-107.833566043,-109.67468296
39934,200.742830418,31.0632467311,-0.261673286014,188.54552596,191.216641234
39940,5.02179928653e-05,2.50719199389e-07,-4.32711311377e-11,-1618.28243221,-1611.13635231
39941,0.00467457865655,0.000382295013543,-1.22824058139e-06,-108.354068485,-107.762394753
39942,0.00971136553357,0.00167677386239,-1.35737360745e-05,-186.639750718,-183.366623358
39943,0.0307006651606,0.00367930084295,-1.36267197705e-05,-92.9932338103,-91.5385138609
39944,0.100712489259,0.0112252806173,-7.23824571736e-05,-118.886077248,-115.351915757
39960,-7.32058635571e-06,8.55181987396e-06,-2.15121673864e-07,-143.698913999,-144.323635591
39961,-2.35830909091e-06,1.85809960899e-06,-3.86792277615e-08,-153.862612222,-154.487333814
39982,0.00471805441766,4.89999585932e-05,-2.77585788609e-08,-97.4833641258,-96.8916903938
39987,0.00195056204966,1.96911256642e-06,-5.69666348022e-11,-196.852453894,-194.181338621
39988,0.0041929696221,3.56970980134e-06,-4.24386410963e-11,-153.886185583,-150.75261827
39992,0.0404066533006,0.480549073712,-0.0155589868927,-12.1340255335,-11.5423518015
39993,-1.71671873868e-05,2.40840978812e-05,-8.44827916381e-07,-137.715434312,-138.340155904
39994,-1.0973750315e-06,4.89764026126e-07,-1.00094644505e-09,-181.445259775,-181.20693515
39995,-5.16811138059e-06,6.85900628546e-07,-1.05696109407e-09,-171.486372772,-171.248048147
39996,-1.30416664185e-05,1.06632479423e-06,-1.86770479746e-09,-172.179767522,-171.941442897
39997,-6.01208170413e-05,2.73709811193e-06,-6.13452419936e-09,-163.550807734,-163.312483109
40002,3.63517751702e-05,-3.15361626506e-07,8.94877353502e-09,-149.909299634,-150.071569187
40003,-1.88031411824e-05,5.1437892404e-06,-2.5774107596e-08,-142.803864517,-142.96613407
40010,49.5053227039,0.0553241779589,7.69731820846e-07,44.8430062874,44.218284695
40035,10.7491499978,0.430791332205,-0.000583414716256,171.421868835,175.07849631
40036,0.240791964649,1.70660431533,-0.0011105927369,266.98289997,270.517061461
40037,-2.73927708229,0.162450436014,-0.0001722616185,111.282294988,114.415862301
40057,-0.00014004236802,0.000141075862555,-4.0849429263e-06,-117.766410326,-118.391131918
40058,-0.00058856925,0.0002406854625,-1.1580734375e-05,-68.5182709146,-70.3593878312
