ID,x^3,x^2,x,c,AIC,BIC
39835,0.00064804636022,4.50915379203e-05,6.03544716165e-07,-6.52544373184e-10,-123.419747603,-123.101981436
39836,5.00492640864e-05,2.54213112353e-05,-7.94839380802e-08,1.19006255389e-10,-222.230197865,-221.019857493
39837,-2.80195594247e-05,1.48436847752e-05,-5.13214090841e-08,1.233302136e-10,-198.745813684,-197.535473312
39838,3.73992839345e-07,6.24399558137e-06,-6.57717720004e-09,5.76168940407e-12,-229.925153876,-228.714813504
39839,3.62714706539e-05,4.88352267851e-06,-1.91720491406e-08,5.323285839e-11,-224.518070612,-223.30773024
39840,0.210221607175,0.0270606611657,0.0600559471529,-0.0102155696421,-114.91751968,-108.583443927
39841,0.114766586307,0.818197499119,-0.277152324243,0.0298590741192,-150.969063969,-144.114775702
39842,0.119271401514,0.408512670795,-0.0389172410682,-0.00306990799752,-96.657132757,-90.5516906585
39843,0.119651436376,0.841496850412,-0.292943967276,0.0337759905349,-101.998753298,-96.6699352573
39844,0.136447176101,0.614961446292,-0.153533367488,0.0123630125458,-143.946687623,-136.99600915
39845,0.131596780186,0.334486878103,-0.0580305029852,0.00363782090299,-80.0934721599,-75.3812568385
39846,0.19326216077,0.0256932908716,0.0374967070553,-0.00433840449826,-76.7818258188,-72.2398489551
39847,-0.0429073430376,0.539336268294,-0.190278288928,0.0232315249008,-122.418387032,-116.682438214
39848,0.0693874626328,0.270926733462,0.0377158576682,-0.0164519575629,-80.7762206701,-75.9007173707
39849,-0.0384857839186,0.619682344627,-0.16698739246,0.0115058980403,-73.8719026702,-69.6938129193
39850,0.214658892753,-0.20166513832,0.295293390304,-0.056833430447,-85.2142913627,-81.436535446
39863,-3.79677371519e-05,1.11143970088e-05,2.12594898336e-07,-1.65482908712e-09,-92.9506316303,-94.5128799806
39864,-0.000102972145837,5.50294939969e-05,-6.29160167949e-07,2.34977699786e-09,-101.054333885,-102.616582236
39865,3.86369749059e-05,1.03913524676e-05,-9.27095710892e-08,4.46003518009e-10,-102.331082312,-103.893330662
39866,5.92520365938e-05,2.2974933128e-05,-1.83525203942e-07,8.72481211739e-10,-87.7780232671,-89.3402716174
39867,-0.000109900978077,2.50419473404e-05,-2.7283945763e-07,1.04846160321e-09,-117.475287053,-119.037535403
39868,9.80332431994e-05,2.94865197713e-05,-1.60054688352e-07,2.01520740247e-10,-101.448097858,-102.281059981
39869,-0.000462780737325,0.000114185837727,-1.11730351557e-06,3.6869846632e-09,-91.2732936191,-92.1062557422
39870,0.000350572345795,4.12710760892e-05,-1.04047693506e-07,1.26946534857e-10,-101.196391519,-102.029353642
39871,-0.000926249163461,0.000161823780813,-1.73223159499e-06,6.24200664504e-09,-92.4418670675,-93.2748291905
39873,0.000167689564562,4.3895073687e-06,3.74040323851e-08,-2.7223562593e-10,-113.395165375,-114.228127499
39874,0.000161707888848,3.07244748718e-05,-1.63401323651e-07,2.43096843361e-10,-102.742330889,-103.575293012
39875,0.000380423026129,8.17017195145e-05,-9.70480459137e-07,3.63296219693e-09,-92.55417822,-93.3871403431
39876,-0.000504519000353,0.000129672169619,-1.01774768208e-06,2.66684453843e-09,-86.6740348144,-87.5069969375
39877,-0.00050517103285,0.000131574546021,-9.54010192219e-07,2.36087887828e-09,-92.8036318387,-93.6365939618
39878,3.39780189888e-05,8.13381693458e-06,-3.34358876938e-08,2.65653233496e-11,-116.702529315,-117.535491438
39879,0.000143156391619,2.39126512364e-05,-1.84362021614e-07,4.94702709773e-10,-107.791776912,-108.624739035
39880,0.000272537382175,5.276027725e-05,-4.05514663028e-07,1.12297856862e-09,-94.1653563557,-94.9983184788
39881,0.000546613134431,5.79164427325e-05,-4.26168209738e-07,1.22574176794e-09,-99.3545576578,-100.187519781
39882,-6.00375139746e-05,8.45747662212e-05,-6.00341569031e-07,1.58608155823e-09,-95.1151165326,-95.9480786557
39888,0.000266685142857,-5.28997e-05,3.92395e-06,-6.46831428571e-08,-343.176503439,-345.631325995
39889,0.00014222847619,-2.58999e-05,2.74541666667e-06,-4.37151428571e-08,-337.959220327,-340.414042882
39890,0.000192576980531,-7.929347236e-06,4.10251171186e-07,-2.86129329561e-09,-109.853128845,-110.686090968
39891,0.000107202181672,6.07976661017e-05,-1.7591149278e-06,1.58123606824e-08,-110.397037486,-111.229999609
39895,-0.000119587251926,0.000226104844015,-1.05695097233e-05,2.33249232339e-07,-144.275498901,-143.957732734
