ID,x^2,x,c,AIC,BIC
39835,0.000639889555556,4.63966266667e-05,5.48078444444e-07,-125.419747603,-125.181422978
39836,0.000131900580408,2.1791042004e-05,-4.01621288489e-08,-210.806873249,-209.89911797
39837,4.06905711867e-05,1.15965429945e-05,-1.34916846937e-08,-199.339927209,-198.43217193
39838,4.33682538469e-06,6.06823604928e-06,-4.67341129416e-09,-231.783074042,-230.875318763
39839,7.28845000826e-05,3.25966175394e-06,-1.5829543859e-09,-221.14552066,-220.237765381
39840,0.146922048668,0.179758637228,-0.0167689833023,-116.23989737,-111.489340555
39841,0.255826167561,0.440303683004,-0.0680825504111,-144.340592731,-139.199876531
39842,0.0899018396241,0.4687684992,-0.065582062296,-98.5435210175,-93.9644394437
39843,0.209408973053,0.540582945136,-0.0896700632141,-102.278243948,-98.2816304176
39844,0.240481895939,0.386179977526,-0.0492784778022,-142.164564959,-136.951556104
39845,0.167062627974,0.260065394257,-0.0255213451448,-81.8512992289,-78.3171377378
39846,0.178882708337,0.0686647090183,0.0104158139164,-78.764947453,-75.3584648052
39847,0.0852126164788,0.225553679413,-0.0208599818639,-119.035243034,-114.73328142
39848,0.0187662940301,0.426856853193,-0.0632814969024,-82.5318214805,-78.8751940059
39849,-0.00775578977585,0.518253889937,-0.0977844276872,-75.7813002331,-72.6477329199
39850,0.0410477292349,0.335689954562,-0.0525281523467,-79.8247333951,-76.9914164576
39851,-3.299555025e-06,7.77442630785e-08,-1.04887411387e-10,-128.419620098,-129.591306361
39852,-1.63263012051e-07,6.68820667309e-08,-4.69647329961e-11,-135.14842087,-136.320107133
39853,-6.30208196248e-06,1.57557306922e-07,-2.10982590213e-10,-122.618295815,-123.789982078
39854,-1.53837152924e-06,6.21881716233e-08,-2.28717046391e-11,-126.126788171,-127.298474434
39855,2.18029303927e-06,1.66736276684e-08,-4.40209845987e-12,-134.687581473,-135.859267735
39856,4.35315148059e-06,5.92457494769e-08,-2.31687370238e-11,-116.388789416,-117.560475678
39857,-1.41708473599e-06,1.38094972041e-07,-7.99305450184e-11,-123.648605166,-124.820291428
39858,-3.65419605106e-07,9.1233781199e-08,2.71974586577e-11,-114.07287809,-115.244564353
39859,8.93212923386e-07,3.5436919531e-09,4.35761119596e-12,-143.951814552,-145.123500815
39860,-2.79305800289e-07,8.80888092863e-08,-1.03739777527e-10,-127.323558971,-128.495245234
39861,4.64612303928e-08,1.09405532856e-07,-1.77616765341e-10,-125.888872842,-127.060559105
39862,-2.3557212297e-07,5.71997520776e-08,-3.4231044931e-11,-127.241072244,-128.412758507
39863,-0.000227704828451,2.79132741131e-05,-1.11188116519e-07,-90.0673748772,-91.2390611399
39864,0.00016644531621,3.11759037279e-05,-1.69403999457e-07,-88.6359722901,-89.8076585528
39865,8.97742258006e-05,5.86378019721e-06,-5.44475031663e-09,-101.433898037,-102.6055843
39866,0.000159287773587,1.4118003572e-05,-1.28159752126e-08,-89.0206282663,-90.192314529
39867,1.03120738194e-05,1.43985656414e-05,-6.76979952958e-08,-96.9382651122,-98.1099513749
39868,0.000145203106423,2.59890432413e-05,-1.08251757367e-07,-103.3145163,-103.939237892
39869,0.000400229998237,5.01966805313e-05,-1.69527064286e-07,-88.0643927887,-88.689114381
39870,0.000380286660453,3.90678660093e-05,-7.14148112727e-08,-103.145209268,-103.76993086
