ID,x^3,x^2,x,c,AIC,BIC
39835,0.00064804636022,4.50915379203e-05,6.03544716165e-07,-6.52544373184e-10,-123.419747603,-123.101981436
39836,5.00492640864e-05,2.54213112353e-05,-7.94839380802e-08,1.19006255389e-10,-222.230197865,-221.019857493
39837,-2.80195594247e-05,1.48436847752e-05,-5.13214090841e-08,1.233302136e-10,-198.745813684,-197.535473312
39838,3.73992839344e-07,6.24399558137e-06,-6.57717720004e-09,5.76168940407e-12,-229.925153876,-228.714813504
39839,3.62714706539e-05,4.88352267851e-06,-1.91720491406e-08,5.323285839e-11,-224.518070612,-223.30773024
39840,0.210221607175,0.0270606611657,0.0600559471529,-0.0102155696421,-114.91751968,-108.583443927
39841,0.114766586307,0.818197499119,-0.277152324243,0.0298590741192,-150.969063969,-144.114775702
39842,0.119271401514,0.408512670795,-0.0389172410682,-0.00306990799752,-96.657132757,-90.5516906585
39843,0.119651436376,0.841496850412,-0.292943967276,0.0337759905349,-101.998753298,-96.6699352573
39844,0.136447176101,0.614961446292,-0.153533367488,0.0123630125458,-143.946687623,-136.99600915
39845,0.131596780186,0.334486878103,-0.0580305029852,0.00363782090299,-80.0934721599,-75.3812568385
39846,0.19326216077,0.0256932908716,0.0374967070553,-0.00433840449826,-76.7818258188,-72.2398489551
39847,-0.0429073430376,0.539336268294,-0.190278288928,0.0232315249008,-122.418387032,-116.682438214
39848,0.0693874626328,0.270926733462,0.0377158576682,-0.0164519575629,-80.7762206701,-75.9007173707
39849,-0.0384857839186,0.619682344627,-0.16698739246,0.0115058980403,-73.8719026702,-69.6938129193
39850,0.214658892753,-0.20166513832,0.295293390304,-0.056833430447,-85.2142913627,-81.436535446
39851,-8.1978219101e-06,1.75808313378e-07,-5.65819900598e-10,5.97416906594e-13,-129.879214005,-131.441462355
39852,-3.20126604528e-06,1.29685372041e-07,-3.47393850844e-10,3.94522303798e-13,-141.824324071,-143.386572421
39853,-1.43113786451e-05,3.22865606343e-07,-1.00065833506e-09,1.03609989477e-12,-123.700371896,-125.262620247
39854,2.43412365688e-06,-1.82208229235e-08,3.58285015007e-10,-4.97711298039e-13,-125.325862006,-126.888110356
39855,6.9359405e-07,4.68617611744e-08,-1.47474431454e-10,1.86701556776e-13,-133.602519591,-135.164767941
39856,-1.78496356407e-05,5.11261766039e-07,-2.16776136943e-09,2.79972085354e-12,-133.158644157,-134.720892507
39857,-1.12861321654e-05,3.4178769465e-07,-1.05296821469e-09,1.27668126283e-12,-131.425012375,-132.987260725
39858,1.30135330723e-05,-1.84403194201e-07,1.340272831e-09,-1.71683754028e-12,-113.423826083,-114.986074434
39859,1.94240942126e-07,1.77377433998e-08,-6.29216811355e-11,8.77664952665e-14,-143.306659509,-144.86890786
39860,7.07278411892e-06,-6.06572113955e-08,6.01103525013e-10,-9.20203647943e-13,-138.400478978,-139.962727328
39861,-5.10645767782e-06,2.14554052615e-07,-6.77916287606e-10,6.55210023691e-13,-126.045132038,-127.607380388
39862,-7.29432718755e-06,2.00173553963e-07,-7.13206222965e-10,8.88891039489e-13,-133.990811509,-135.553059859
39863,-3.79677371519e-05,1.11143970088e-05,2.12594898336e-07,-1.65482908712e-09,-92.9506316303,-94.5128799806
39864,-0.000102972145837,5.50294939969e-05,-6.29160167949e-07,2.34977699786e-09,-101.054333885,-102.616582236
39865,3.86369749059e-05,1.03913524676e-05,-9.27095710892e-08,4.46003518009e-10,-102.331082312,-103.893330662
39866,5.92520365938e-05,2.2974933128e-05,-1.83525203942e-07,8.72481211739e-10,-87.7780232671,-89.3402716174
39867,-0.000109900978077,2.50419473404e-05,-2.7283945763e-07,1.04846160321e-09,-117.475287053,-119.037535403
39868,9.80332431994e-05,2.94865197713e-05,-1.60054688352e-07,2.01520740247e-10,-101.448097858,-102.281059981
39869,-0.000462780737325,0.000114185837727,-1.11730351557e-06,3.6869846632e-09,-91.2732936191,-92.1062557422
39870,0.000350572345795,4.12710760892e-05,-1.04047693506e-07,1.26946534857e-10,-101.196391519,-102.029353642
39871,-0.000926249163461,0.000161823780813,-1.73223159499e-06,6.24200664504e-09,-92.4418670675,-93.2748291905
39873,0.000167689564562,4.3895073687e-06,3.74040323851e-08,-2.7223562593e-10,-113.395165375,-114.228127499
39874,0.000161707888848,3.07244748718e-05,-1.63401323651e-07,2.43096843361e-10,-102.742330889,-103.575293012
39875,0.000380423026129,8.17017195145e-05,-9.70480459137e-07,3.63296219693e-09,-92.55417822,-93.3871403431
